"person_id","role_id","worship_id","assigned_at"
1,1,1,"2025-06-21 16:14:57"
1,1,5,"2025-06-27 18:39:22"
2,1,1,"2025-06-21 16:14:57"
2,1,4,"2025-06-27 18:39:22"
3,1,1,"2025-06-21 16:14:57"
3,1,3,"2025-06-27 18:39:22"
3,1,5,"2025-06-27 18:39:22"
3,1,6,"2025-06-21 16:14:57"
5,2,1,"2025-06-21 16:14:57"
5,3,4,"2025-06-27 18:39:22"
5,12,4,"2025-06-27 18:39:22"
5,13,1,"2025-06-21 16:14:57"
6,2,1,"2025-06-21 16:14:57"
6,13,1,"2025-06-21 16:14:57"
7,1,3,"2025-06-27 18:39:22"
7,1,4,"2025-06-27 18:39:22"
7,1,6,"2025-06-21 16:14:57"
7,2,1,"2025-06-21 16:14:57"
7,13,1,"2025-06-21 16:14:57"
8,3,1,"2025-06-21 16:14:57"
8,4,1,"2025-06-21 16:14:57"
9,1,6,"2025-06-21 16:14:57"
9,3,1,"2025-06-21 16:14:57"
9,3,2,"2025-06-22 17:04:34"
9,4,1,"2025-06-21 16:14:57"
10,1,6,"2025-06-21 16:14:57"
10,3,1,"2025-06-21 16:14:57"
10,4,1,"2025-06-21 16:14:57"
10,13,1,"2025-06-21 16:14:57"
11,3,1,"2025-06-21 16:14:57"
11,3,2,"2025-06-22 17:04:34"
11,4,1,"2025-06-21 16:14:57"
11,13,1,"2025-06-21 16:14:57"
12,3,2,"2025-06-22 17:04:34"
12,4,1,"2025-06-21 16:14:57"
12,7,2,"2025-06-22 17:04:34"
12,7,3,"2025-06-27 18:39:22"
13,4,1,"2025-06-21 16:14:57"
14,1,6,"2025-06-21 16:14:57"
14,3,1,"2025-06-21 16:14:57"
14,3,2,"2025-06-22 17:04:34"
14,4,1,"2025-06-21 16:14:57"
14,7,2,"2025-06-22 17:04:34"
14,7,3,"2025-06-27 18:39:22"
14,13,1,"2025-06-21 16:14:57"
14,15,2,"2025-06-22 17:04:34"
15,4,1,"2025-06-21 16:14:57"
15,7,3,"2025-06-27 18:39:22"
15,9,1,"2025-06-21 16:14:57"
16,3,2,"2025-06-22 17:04:34"
16,3,3,"2025-06-27 18:39:22"
16,4,1,"2025-06-21 16:14:57"
16,13,1,"2025-06-21 16:14:57"
17,3,2,"2025-06-22 17:04:34"
17,3,3,"2025-06-27 18:39:22"
17,4,1,"2025-06-21 16:14:57"
20,4,1,"2025-06-21 16:14:57"
20,11,1,"2025-06-21 16:14:57"
20,12,3,"2025-06-27 18:39:22"
21,3,2,"2025-06-22 17:04:34"
